主題,類別,標題,關鍵句,情緒分數,分類結果,URL,來源,日期
1,科技,黑鷹無人化，美軍與洛克希德馬丁簽署 600 萬美元合約繼續測試,DAPRA 和塞考斯基在 2022 年到 2023 年間陸續進行了無人黑鷹的基本飛行、載貨以及救援任務等相關測試，而賽考斯基在昨日公布，已再度獲得 DAPRA 一紙六百萬美元合約，將進一步測試 Matrix 系統在黑鷹直升機上的自動駕駛能力,3,正面,https://technews.tw/2024/10/16/sikorsky-gets-6m-contract-to-continue-the-unmanned-blackhawk-tests/,TECHNEWS,2024-10-16
1,科技,SpaceX 獵鷹九號火箭，三個月內第三次因異常停飛,SpaceX 獵鷹九號火箭 Crew-9 任務將太空人送到國際太空站後，由於第二級未順利降落在預期海洋區域，三個月來第三次遭 FAA 勒令停飛,1,正面,https://technews.tw/2024/10/01/crew-9-mission-spacex-falcon9-rocket/,TECHNEWS,2024-10-01
2,科技,華郵：川普一名顧問通話遭中國駭客攔劫,美國政府也還在了解這些駭客取得多少通話內容,0,中性,https://infosecu.technews.tw/2024/10/28/chinese-hackers-said-to-have-collected-audio-of-american-calls/,TECHNEWS,2024-10-28
2,科技,路透：歐四國將投贊成票，通過中國電動車加徵 45% 關稅,歐盟規定，歐盟執委會五年內可向中國製電動車加徵45%進口關稅，除非占歐盟人口65%的15個成員國合格多數投票反對,0,中性,https://technews.tw/2024/10/03/eu-has-enough-support-to-impose-chinese-ev-tariffs/,TECHNEWS,2024-10-03
2,科技,歐盟中國進口電動車加稅案，傳德總理下令投反對票,對此，歐盟執委會希望11月起對中國電動車徵收反補貼稅（Countervailing Duties），在某些情況下關稅預計將超過45%,-1,負面,https://technews.tw/2024/10/04/countervailing-duties-olaf-scholz-dissenting-vote/,TECHNEWS,2024-10-04
2,科技,中國官媒：歐盟可能派員訪中磋商電動車關稅,央視旗下微博帳號「玉淵譚天」27 日評論，歐盟擬定的終裁日期前，歐盟可能首次派員訪中，與中國就價格承諾繼續談判,0,中性,https://technews.tw/2024/10/28/eu-vs-cn-ev-tariffs/,TECHNEWS,2024-10-28
2,科技,紐時：中國駭客出手，川普家族與拜登幕僚都遭殃,《紐約時報》29 日引述知情人士說法指出，美國前總統川普家族成員和現任總統拜登政府官員，都淪為一個可潛入通訊業者系統的中國附屬駭客團體下手目標,-2,負面,https://infosecu.technews.tw/2024/10/30/trump-family-and-biden-aides-hacked/,TECHNEWS,2024-10-30
3,科技,解決取證、健保、信任不足問題！衛福部攜 16 家醫院啟動三大 AI 中心,全台積極發展 AI 智慧醫療領域，但都面臨醫病對 AI 不信任、取證困難、健保給付的評估問題，為此，衛福部今日正式宣布成立「負責任 AI 執行中心」、「臨床 AI 取證驗證中心」，以及「AI 影響性研究中心」三大 AI 中心，串連 16 家醫院提交 19 案，協助執行 AI 發展的最後一哩路難題,4,正面,https://technews.tw/2024/10/07/three-major-ai-centers/,TECHNEWS,2024-10-07
3,科技,OpenAI開發者大會 推4功能驅動AI更便宜、普及,此外，在去年的開發者大會上，OpenAI仿效大型科技公司的策略，向消費者宣布新模型和產品，今年改變作風，主要向開發者社群宣布4項功能,0,中性,https://www.cna.com.tw/news/ait/202410020018.aspx,CNA,2024-10-02
3,科技,高通 Snapdragon 高峰會談 AI：從大眾轉往特定領域、解決 AI 間通訊是挑戰,高通在 Snapdragon 高峰會第三天議程上的 AI Talk 中問答環節，提到由於 AI 蓬勃發展，預期未來不同國家會建立自己的模型，另外 AI 會從過去公領域延伸到特定領域的特定模型，如醫學可能會出現一個「PC Copilot」,2,正面,https://technews.tw/2024/10/24/qualcomm-2024-summit-ai-talk/,TECHNEWS,2024-10-24
3,科技,鴻海攜 NVIDIA 打造台灣最快 AI 超級電腦！落腳高雄、拚明年中營運,鴻海科技集團副總經理暨發言人巫俊毅指出，在 NVIDIA Blackwell 平台的支援下，鴻海全新 AI 超級電腦是全球最強大的 AI 超級電腦之一，代表著 AI 運算與效率的重大躍進,3,正面,https://technews.tw/2024/10/09/foxconn-and-nvidia-taiwan-fastest-ai-supercomputer/,TECHNEWS,2024-10-09
3,科技,Meta 可用智慧眼鏡拍攝的影像訓練 AI，恐掀隱私疑慮,從 Meta 在 Connect 2024 大會展示的新功能，Ray-Ban Meta 智慧眼鏡用戶能夠更自然地喚醒 Meta AI，獲得有關你周圍事物的資訊並記下你的停車位置等資訊，實質上將連續的影像串流傳送到 Meta 的多模態 AI 模型進行處理,4,正面,https://infosecu.technews.tw/2024/10/03/meta-confirms-it-may-train-its-ai-on-any-image-you-ask-ray-ban-meta-ai-to-analyze/,TECHNEWS,2024-10-03
4,科技,科學家使用新方法，尋找遙遠行星的大氣層,透過這種方式，研究人員表示其運用新方法測量的第一顆行星GJ1132 b沒有大氣層，因該行星測得的溫度與計算出的最高溫度太接近，無法顯示行星上有任何調節溫度的成分，因此，它並不是生命的合適候選行星,-2,負面,https://technews.tw/2024/10/16/searching-for-the-atmospheres-of-distant-planets/,TECHNEWS,2024-10-16
4,科技,「太陽系 2.0」 TRAPPIST-1 系統，科學家嘗試探測外星無線電訊號,近日，賓州州立大學與 SETI 研究所團隊使用艾倫望遠鏡陣列尋找 TRAPPIST-1 系統有否外星無線電訊號特徵，惜目前仍沒有任何外星技術證據,0,中性,https://technews.tw/2024/10/17/trappist-1-system-allen-telescope-alien-radio-signal/,TECHNEWS,2024-10-17
4,科技,科學家發現，類胡蘿蔔素化合物可延長壽命並預防阿茲海默症,西班牙塞維利亞大學藥學院和英國肯特大學研究團隊發現，類胡蘿蔔素之一的 Phytoene 化合物（八氫番茄紅素）可延長壽命並預防阿茲海默症,0,中性,https://technews.tw/2024/10/04/scientists-have-discovered-a-dietary-compound-that-increases-longevity/,TECHNEWS,2024-10-04
4,科技,32.6億年前隕石撞地球 化巨大肥料彈助地球早期生命演化,6600萬年前在白堊紀末期撞擊地球的太空岩石帶來全球災害，導致恐龍與許多其他生物滅絕，但這不是擊中地球的最大隕石,-5,負面,https://www.cna.com.tw/news/ait/202410230194.aspx,CNA,2024-10-23
4,科技,天文學家發現環繞白矮星的類地行星，是地球將來命運嗎？,這個行星系統由一顆質量約太陽一半的白矮星和一顆地球大小的行星組成，行星軌道距離約地球與太陽距離的兩倍,0,中性,https://technews.tw/2024/10/05/earth-like-planets/,TECHNEWS,2024-10-05
5,科技,"台亞研發非接觸式血糖感測晶片，通過經濟部審查獲 9,500 萬元補助","半導體今（4 日）宣布，旗下上亞科技、星亞視覺、和亞智慧、晉弘科技與台北醫學大學等共同申請「高精度非侵入式連續血糖檢測穿戴裝置技術開發計畫」，針對目前非接觸式血糖感測晶片進行綜合性醫療用開發，通過經濟部 A+ 企業創新研發淬鍊計畫審查，獲得 9,500 萬元補助款",5,正面,https://technews.tw/2024/10/04/tasc-new-products/,TECHNEWS,2024-10-04
5,科技,"格棋斥資 6 億中壢新廠落成，月產能可達 5,000 片、Q4 已滿產",台灣專業碳化矽（SiC）長晶技術領導廠商格棋化合物半導體公司（以下簡稱格棋）週二舉行中壢新廠落成典禮，並宣布與國家中山科學研究院（中科院）合作，雙方將共同強化在高頻通訊技術領域的應用,1,正面,https://technews.tw/2024/10/24/gechi-compound-semiconductor/,TECHNEWS,2024-10-24
5,科技,台積電熊本廠帶動九州半導體投資逾 5 兆日圓，成為日本矽島,日本九州除了台積電熊本廠，還有許多半導體工廠計畫都在進行,1,正面,https://finance.technews.tw/2024/10/29/tsmcs-kumamoto-plant-drives-kyushu-semiconductor-investment-to-exceed-5-trillion-yen/,TECHNEWS,2024-10-29
5,科技,台北紡織展 10/15 登場，永續環保成最大亮點,黃偉基今天主持台北紡織展前記者會，他表示，永續環保對於紡織業而言已是不得不做的大趨勢，包括歐盟、日本都已相繼立法，對廢棄紡織品的循環利用設下規定,-2,負面,https://technews.tw/2024/10/08/2024-titas/,TECHNEWS,2024-10-08
5,科技,Rapidus 有望為當地帶來 3.9 兆經濟財，資金補助仍是一大難題,北海道目標是打造一個整合半導體製造、研發和人力資源的綜合中心，北海道的占日本 GDP 不到 10%，其中電子零件和裝置（包括半導體）僅占 0.4%,0,中性,https://technews.tw/2024/10/15/rapidus-economic-and-money/,TECHNEWS,2024-10-15
6,科技,台積電營收增近 30%，超狂成績「擠壓其他半導體廠成長」！專家看好這族群長期趨勢向上,陳慧明認為，台積電下半年毛利率的表現，「應是天時、地利、人和所帶來的驚喜」，其中，天時當然是指AI大趨勢；至於地利與人和，他強調，在晶圓代工領域，台積電主要的兩個對手英特爾、三星近年的狀況都不算太好，晶圓代工的營收、獲利與台積電的差距愈拉愈遠，「英特爾在晶圓代工的營收，目前可能已經不到台積電的三分之一」,3,正面,https://finance.technews.tw/2024/10/27/tsmc-squeezes-the-growth-of-other-semiconductor-companies/,TECHNEWS,2024-10-27
6,科技,三星晶圓代工已到存亡關頭？韓媒：2 奈米需順產,"BusinessKorea 4日
，三星華城廠S3晶圓代工線持續引進各種設備，預定2025年第一季底安裝好一條月產7,000片晶圓的2奈米產線",0,中性,https://technews.tw/2024/10/04/samsung-foundrys-push-for-sub-2nm-technology-intensifies/,TECHNEWS,2024-10-04
6,科技,Q3 獲利令人失望，未能抓住 AI 契機！三星為財報疲弱致歉,三星表示，主要是 PC、智慧手機需求未見大幅好轉，加上主要客戶 AI 晶片業務延後，以及中國競爭對手增加傳統晶片供應，導致盈利下滑,1,正面,https://finance.technews.tw/2024/10/08/samsung-electronics-announces-earnings-guidance-for-third-quarter-2024/,TECHNEWS,2024-10-08
6,科技,ASML 接單遜、下修明年展望，台供應鏈緊繃,ASML最新2025年淨營收預估區間為300~350億歐元（約327~381億美元），該公司原先預期2025年營收最多上看400億歐元,0,中性,https://technews.tw/2024/10/16/taiwans-euv-supply-chain-is-cautious/,TECHNEWS,2024-10-16
6,科技,聯發科第三季 EPS 達 15.94 元創第三高，前三季 EPS 為 51.98 元,"累計，聯發科前三季營收 3,925.43 億元，較 2023 年同期增加 29.18%，毛利率 50.03%，較 2023 年同期增加 2.9 個百分點，稅後純益 825.97 億元，較 2023 年同期增加 60.96%，淨利率 21.04%，較 2023 年同期增加 4.15 個百分點，每股 EPS 來到 51.98 元",4,正面,https://finance.technews.tw/2024/10/30/mediateks-third-quarter-eps-reached-15-94-yuan-the-third-highest/,TECHNEWS,2024-10-30
7,科技,中國股市大漲，經濟真復甦還是割韭菜？,要觀察中國經濟，首先要知道中國並非民主國家的自由市場經濟，中國經濟是屬「政治經濟」，中國在強力外匯管制下，貨幣對外本身就不具備自由流動性，一般民眾能夠投資的項目就只能在中國股市、房市、國債、定存等有限商品中做選擇,3,正面,https://finance.technews.tw/2024/10/08/china-stock-market-economy/,TECHNEWS,2024-10-08
7,科技,日本企業加速「去中國化」，投資額連七季萎縮,日本企業加速「去中國化」，中國設備投資額連七季陷入萎縮，且還低於歐洲投資額,-2,負面,https://finance.technews.tw/2024/10/07/japanese-companies-equipment-investment-in-china-shrinks-for-7th-consecutive-quarter/,TECHNEWS,2024-10-07
7,科技,日本 PC 出貨量連四季增長，創三年半來最大增幅,"上季日本PC出貨金額較去年同期大增22.2%至2,187億日圓，連四季呈現增長，創2021年1~3月大增28.5%後最大增幅",0,中性,https://technews.tw/2024/10/23/japan-pc-shipments-increase-4-seasons-running/,TECHNEWS,2024-10-23
7,科技,大巨蛋演唱會、運動賽事來了！信用卡高回饋買票有撇步一次看,"使用
 iLEO 卡在兩廳院售票、年代售票購票可享有 2％ 現金回饋，每月回饋上限 500 元",1,正面,https://finance.technews.tw/2024/10/07/wbsc/,TECHNEWS,2024-10-07
7,科技,電視液晶面板價格連二跌、稼動率降，今後續跌？,中國銷售不振、電視（TV）廠商抑制採購量，導致電視用液晶面板價格連兩個月下跌，工廠稼動率（產能利用率）降，且預期今後價格恐持續呈現下跌趨勢,-3,負面,https://technews.tw/2024/10/04/tv-lcd-panel-price-down-china/,TECHNEWS,2024-10-04
8,科技,Visa 財報優於預期，突顯美消費趨勢仍穩健,Visa財務長Chris Suh指出，消費趨勢穩健、強韌，可望持續至新的會計年度,0,中性,https://finance.technews.tw/2024/10/30/visa-fiscal-fourth-quarter-2024-financial-results/,TECHNEWS,2024-10-30
8,科技,Lucid 連三季交車創高、前三季超越去年，股價漲 2%,10月7日，Lucid股價上漲2.4%、收3.42美元，但今年以來仍挫跌18.76%,0,中性,https://technews.tw/2024/10/08/lucid-announces-q3-production-deliveries/,TECHNEWS,2024-10-08
8,科技,Qorvo 財測遜、擬砍成本，盤後跌 16% 下探兩年低點,分析師預期Qorvo第3季營收、non-GAAP每股稀釋盈餘各為10.6億美元、1.92美元,0,中性,https://finance.technews.tw/2024/10/30/qorvo-announces-fiscal-2025-second-quarter-financial-results/,TECHNEWS,2024-10-30
8,科技,EDA 大廠 Cadence 財報讚，調高年度盈餘預測中間值,分析師預期Cadence第4季營收、Non-GAAP每股稀釋盈餘各為13.8億美元、1.98美元,0,中性,https://finance.technews.tw/2024/10/29/cadence-reports-third-quarter-2024-financial-results/,TECHNEWS,2024-10-29
8,科技,ASML 接單遜，股價創 1998 年以來單日最大跌幅,Fouquet週二並且表示，2024年第4季營收預估將介於88-92億歐元之間，毛利率預估介於49-50%之間,0,中性,https://finance.technews.tw/2024/10/16/asml-financial-reporting-stock-price/,TECHNEWS,2024-10-16
9,科技,癌症放射治療大躍進！三總引進「1.5T 高階磁振刀」降低副作用,三軍總醫院院長洪乙仁表示，「1.5T 高階磁振刀」全名為高階磁振造影即時導航放射治療系統，結合高解析度磁振造影技術與強度調控放射治療，能在治療前與治療即時中動態透視腫瘤與軟組織，並能在照射腫瘤時，最大限度地保護周圍正常的組織與器官,0,中性,https://technews.tw/2024/10/08/high-end-magnetic-vibration-knife/,TECHNEWS,2024-10-08
9,科技,邁入光儲充三合一新紀元！SolarEdge 攜手 C&I 客戶擁抱能源最佳化,SolarEdge 台灣區總經理蔡尚霖表示，為了迎接光儲充三合一智慧能源調度新紀元的到來，SolarEdge 特別發表了 SolarEdge ONE 工商型雲端能源優化平台，其能集中監控、分析與管理太陽能變流器、功率優化器、電池儲能櫃、電動車充電樁，以及建築負載等能源基礎設施，進而協助工商業客戶打造能源利用率最佳化的智慧型微電網,4,正面,https://technews.tw/2024/10/04/solaredge-a-new-era-of-solar-storage-and-charging/,TECHNEWS,2024-10-04
9,科技,中國首個手機作業系統 華為「純血鴻蒙」正式發布,華為也首度將原生AI能力融入作業系統，發布會上，華為發布升級版AI助理「小藝」,1,正面,https://www.cna.com.tw/news/ait/202410230058.aspx,CNA,2024-10-23
9,科技,全球首款腦機介面 AI 耳機登場，想用意識控制一切,號稱「第一款腦機介面音訊硬體」的 MW75 Neuro 智慧耳機，由腦機介面公司 Neurable 與音響品牌 Master & Dynamic 共同打造，能夠結合腦電圖（EEG）和功能性近紅外光光譜（fNIRS ）來測量腦活動,1,正面,https://ccc.technews.tw/2024/10/01/mw75-neuro/,TECHNEWS,2024-10-01
9,科技,YouTube 疑隱藏「跳過廣告」按鈕，澄清只是「更新廣告顯示方式」,YouTube 近來加強打擊廣告封鎖工具，最近有網友發現，YouTube「跳過廣告」按鈕竟被黑色長方形遮蓋，倒數計時器也消失不見,-4,負面,https://technews.tw/2024/10/12/youtube-the-skip-button/,TECHNEWS,2024-10-12
10,科技,網家增資統一入股，看起來更像投資優先合作再說,"企業 10 月 23 日入股
（PChome），取得 30% 股份成為大股東，以現在網家規模雖談不上震撼，但不免令人唏噓，很明顯網家需要統一入股救急，統一也想重新布局電商市場，收購 PChome 前已買下 Yahoo 電商，故與 Yahoo 電商同質的新交易引起市場矚目，代表統一想重新站穩電商領域的決心",2,正面,https://finance.technews.tw/2024/10/29/pchome-and-unipresident-investmant-case/,TECHNEWS,2024-10-29
10,科技,澳洲將禁止電子支付手續費轉嫁消費者，2026 年上路,根據現行規定，電子支付業者幾乎每筆交易都可向零售商收取1%到2%的附加費用,0,中性,https://technews.tw/2024/10/15/australia-digital-payment-debit-card-fee/,TECHNEWS,2024-10-15
10,科技,新新併正式通過股東決議！台新金 92.76％、新光金 84.42％ 投贊成票,新光金股東臨時會後，魏寶生表示，對於股東決議通過新新併非常感謝，這是股東行動主義的發揮，更是金融業歷史性的一刻，終於讓新光金攜手台新金在山頂會合，確立泛新光集團浴火重生，讓新光金步入下個階段,2,正面,https://finance.technews.tw/2024/10/09/ts-financial-holding/,TECHNEWS,2024-10-09
10,科技,新新併拚過關，工會：未協商員工安置合法性與誠意俱無,工會表示，依金管會函令，金融機構申請合併應依法提具妥善員工安置計畫，並檢附與工會協商的會議紀錄，但截至10月8日，台新金與新光金從未與新光銀工會協商員工安置計畫，何以宣稱最快11日送件金管會，質疑合法性及誠意俱無,0,中性,https://finance.technews.tw/2024/10/08/labor-union-is-accurate-about-shin-shin-merge/,TECHNEWS,2024-10-08
10,科技,電動車市況不振，Wolfspeed 暫時擱置德國設廠計畫,采埃孚發言人則表示，Wolfspeed已決定停止施工，在Wolfspeed「無限期」推遲德國廠計畫後，雙方已暫停合作,0,中性,https://technews.tw/2024/10/24/zf-to-quit-wolfspeeds-german-chip-project/,TECHNEWS,2024-10-24
11,科技,AMD Advancing AI 2024》全面定義 AI 解決方案，從雲端到邊緣提供開放式創新,處理器大廠 AMD 在 10 日舉辦的「Advancing AI 2024」上進一步定義人工智慧（AI）運算時代的最新高效能運算解決方案，其中包括第 5 代 AMD EPYC 伺服器處理器、AMD Instinct MI325X GPU、AMD Pensando Salina DPU、AMD Pensando Pollara 400 NIC 和適用於企業級 AI PC 的 AMD Ryzen AI PRO 300 系列處理器,1,正面,https://technews.tw/2024/10/11/amd-advancing-ai-2024/,TECHNEWS,2024-10-11
11,科技,AMD 第五代 Turin系列 EPYC 處理器較英特爾產品優勢明顯,儘管 AMD 新處理器展現令人印象深刻的效能，但仍有市場人士提出有趣觀察，那就是在與英特爾競爭高階等級以競爭 AI 應用方面，在 192 核心的 Zen 5c的AMD EPYC 9965 處理器在傳輸量、虛擬化和雲工作執行方面非常出色，但在 128 核心的英特爾 Granite Rapids Xeon 處理器和 128 核心的的 AMD EPYC 9755 之間的競爭下，AMD 不再擁有之前那樣的絕對競爭優勢,1,正面,https://technews.tw/2024/10/22/amds-5th-generation-turin-series-epyc-processors-have-clear-advantages-over-intels-competitors/,TECHNEWS,2024-10-22
11,科技,將 AI 功能帶入桌上型電腦，英特爾發表全新 Core Ultra 200S 系列處理器,"英特爾強調，全新 Intel Core Ultra 200S 系列處理器具備高達 36TOPS 平台效能，是英特爾首款且最佳的桌上型 AI PC 處理器，還具備以下效能：
1. 
：Intel Core Ultra 200S 系列處理器在 AI 及內容創作方面提供優異效能，並打造身臨其境的遊戲體驗",4,正面,https://technews.tw/2024/10/11/intel-releases-new-intel-core-ultra-200s-series-processors/,TECHNEWS,2024-10-11
11,科技,英特爾處理器紛紛歸隊台積電，AMD 麻煩大了？,AMD Zen 5已攤牌，就看英特爾Arrow Lake使用台積電製程後能為市場帶來什麼驚奇了,0,中性,https://technews.tw/2024/10/09/amd-intel-tsmc/,TECHNEWS,2024-10-09
11,科技,富士通、美超微開發 Arm 架構液冷伺服器晶片，預定 2027 年推出,富士通（Fujitsu）正與美超微（Supermicro）合作，以富士通即將推出的 Arm 架構 Monaka 處理器為基礎，在2027 年以前打造液冷伺服器,1,正面,https://technews.tw/2024/10/04/fujitsu-supermicro-liquid-cooled-servers-2027/,TECHNEWS,2024-10-04
12,科技,蘋果釋iOS軟體更新  修正iPhone 16觸控異常,蘋果公司（Apple）今天釋出iOS 18.0.1作業系統更新，提供iPhone重要的錯誤修正和安全性更新，包含iPhone 16和iPhone 16 Pro機型的觸控螢幕，在特定情況下暫時沒有回應的問題,-2,負面,https://www.cna.com.tw/news/ait/202410040034.aspx,CNA,2024-10-04
12,科技,AI 平台 10 月底才推？傳蘋果想確保重大問題已排除,Gurman指出，初版Apple Intelligence僅將包括通知摘要等功能，要等更新至iOS 18.2時，才會整合ChatGPT並支援客製化的表情符號「Genmoji」,2,正面,https://technews.tw/2024/10/07/apple-slowly-moves-away-from-its-annual-product-release-strategy/,TECHNEWS,2024-10-07
12,科技,iPhone SE 4 護殼流出，透露三件變化,雖然早先的 iPhone SE 4 傳聞指稱此一設備的靜音鍵將換成現在 iPhone 機款主流的動作按鍵，不過此次外流的護殼照似乎顯示，iPhone SE 4 機身邊框左上角仍搭載傳統的靜音鍵,0,中性,https://technews.tw/2024/10/13/iphone-se-4-case/,TECHNEWS,2024-10-13
12,科技,用戶敲碗奏效 YouTube短影片長度放寬至3分鐘,Google今天宣布，YouTube將於10月15日起開放上傳長達3分鐘的Shorts短影片，同時也推出範本工具、開放自訂動態「顯示較少Shorts」的選項等更新，提供更多創作彈性,1,正面,https://www.cna.com.tw/news/ait/202410040043.aspx,CNA,2024-10-04
12,科技,不是更新 iOS 18.1 就好，Apple Intelligence 與新 Siri 如何獲得？,蘋果於昨日晚間已釋出了 iOS 18.1 作業系統更新，部分 Apple Intelligence 也隨之釋出，不過並不是更新 iOS 18.1 後就能獲得，必須還要額外做其他步驟才能獲得通知摘要、新 Siri 等 AI 功能,3,正面,https://technews.tw/2024/10/29/hoe-to-get-apple-intelligence-and-new-siri/,TECHNEWS,2024-10-29
